learning_task_id,source_training_item_id,role_group,topic,source_object,trigger,required_before_effective,blocks_release_if_pending,learning_materials,implementation_check,evidence_to_collect,human_confirmation_status,not_real_record,not_real_record_marker
TRN-017-R01,TRN-017,对应过程填写人员,候选记录模板填写与更正规则,JL-7.6-01 测量不确定度适用性评审记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.6-01-测量不确定度适用性评审记录-字段字典.md；record_template_full_trial_pack/JL-7.6-01-测量不确定度适用性评审记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-017-R02,TRN-017,复核人员,候选记录模板填写与更正规则,JL-7.6-01 测量不确定度适用性评审记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.6-01-测量不确定度适用性评审记录-字段字典.md；record_template_full_trial_pack/JL-7.6-01-测量不确定度适用性评审记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-017-R03,TRN-017,文件管理员,候选记录模板填写与更正规则,JL-7.6-01 测量不确定度适用性评审记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.6-01-测量不确定度适用性评审记录-字段字典.md；record_template_full_trial_pack/JL-7.6-01-测量不确定度适用性评审记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-018-R01,TRN-018,对应过程填写人员,候选记录模板填写与更正规则,JL-7.7-01 结果有效性监控计划与评价记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.7-01-结果有效性监控计划与评价记录-字段字典.md；record_template_full_trial_pack/JL-7.7-01-结果有效性监控计划与评价记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-018-R02,TRN-018,复核人员,候选记录模板填写与更正规则,JL-7.7-01 结果有效性监控计划与评价记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.7-01-结果有效性监控计划与评价记录-字段字典.md；record_template_full_trial_pack/JL-7.7-01-结果有效性监控计划与评价记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-018-R03,TRN-018,文件管理员,候选记录模板填写与更正规则,JL-7.7-01 结果有效性监控计划与评价记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.7-01-结果有效性监控计划与评价记录-字段字典.md；record_template_full_trial_pack/JL-7.7-01-结果有效性监控计划与评价记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-019-R01,TRN-019,对应过程填写人员,候选记录模板填写与更正规则,JL-7.8-01 报告复核与授权签发记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.8-01-报告复核与授权签发记录-字段字典.md；record_template_full_trial_pack/JL-7.8-01-报告复核与授权签发记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-019-R02,TRN-019,复核人员,候选记录模板填写与更正规则,JL-7.8-01 报告复核与授权签发记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.8-01-报告复核与授权签发记录-字段字典.md；record_template_full_trial_pack/JL-7.8-01-报告复核与授权签发记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-019-R03,TRN-019,文件管理员,候选记录模板填写与更正规则,JL-7.8-01 报告复核与授权签发记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.8-01-报告复核与授权签发记录-字段字典.md；record_template_full_trial_pack/JL-7.8-01-报告复核与授权签发记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-020-R01,TRN-020,对应过程填写人员,候选记录模板填写与更正规则,JL-7.9-01 投诉处理记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.9-01-投诉处理记录-字段字典.md；record_template_full_trial_pack/JL-7.9-01-投诉处理记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-020-R02,TRN-020,复核人员,候选记录模板填写与更正规则,JL-7.9-01 投诉处理记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.9-01-投诉处理记录-字段字典.md；record_template_full_trial_pack/JL-7.9-01-投诉处理记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-020-R03,TRN-020,文件管理员,候选记录模板填写与更正规则,JL-7.9-01 投诉处理记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.9-01-投诉处理记录-字段字典.md；record_template_full_trial_pack/JL-7.9-01-投诉处理记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-021-R01,TRN-021,对应过程填写人员,候选记录模板填写与更正规则,JL-7.10-01 不符合工作影响评价与恢复授权记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.10-01-不符合工作影响评价与恢复授权记录-字段字典.md；record_template_full_trial_pack/JL-7.10-01-不符合工作影响评价与恢复授权记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-021-R02,TRN-021,复核人员,候选记录模板填写与更正规则,JL-7.10-01 不符合工作影响评价与恢复授权记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.10-01-不符合工作影响评价与恢复授权记录-字段字典.md；record_template_full_trial_pack/JL-7.10-01-不符合工作影响评价与恢复授权记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-021-R03,TRN-021,文件管理员,候选记录模板填写与更正规则,JL-7.10-01 不符合工作影响评价与恢复授权记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.10-01-不符合工作影响评价与恢复授权记录-字段字典.md；record_template_full_trial_pack/JL-7.10-01-不符合工作影响评价与恢复授权记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-022-R01,TRN-022,对应过程填写人员,候选记录模板填写与更正规则,JL-7.11-01 电子表格/软件适用性确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.11-01-电子表格-软件适用性确认记录-字段字典.md；record_template_full_trial_pack/JL-7.11-01-电子表格软件适用性确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-022-R02,TRN-022,复核人员,候选记录模板填写与更正规则,JL-7.11-01 电子表格/软件适用性确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.11-01-电子表格-软件适用性确认记录-字段字典.md；record_template_full_trial_pack/JL-7.11-01-电子表格软件适用性确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-022-R03,TRN-022,文件管理员,候选记录模板填写与更正规则,JL-7.11-01 电子表格/软件适用性确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.11-01-电子表格-软件适用性确认记录-字段字典.md；record_template_full_trial_pack/JL-7.11-01-电子表格软件适用性确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-023-R01,TRN-023,对应过程填写人员,候选记录模板填写与更正规则,JL-8.3-01 文件修订评审与发布记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.3-01-文件修订评审与发布记录-字段字典.md；record_template_full_trial_pack/JL-8.3-01-文件修订评审与发布记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-023-R02,TRN-023,复核人员,候选记录模板填写与更正规则,JL-8.3-01 文件修订评审与发布记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.3-01-文件修订评审与发布记录-字段字典.md；record_template_full_trial_pack/JL-8.3-01-文件修订评审与发布记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-023-R03,TRN-023,文件管理员,候选记录模板填写与更正规则,JL-8.3-01 文件修订评审与发布记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.3-01-文件修订评审与发布记录-字段字典.md；record_template_full_trial_pack/JL-8.3-01-文件修订评审与发布记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-024-R01,TRN-024,对应过程填写人员,候选记录模板填写与更正规则,JL-8.4-01 记录归档与借阅记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.4-01-记录归档与借阅记录-字段字典.md；record_template_full_trial_pack/JL-8.4-01-记录归档与借阅记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-024-R02,TRN-024,复核人员,候选记录模板填写与更正规则,JL-8.4-01 记录归档与借阅记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.4-01-记录归档与借阅记录-字段字典.md；record_template_full_trial_pack/JL-8.4-01-记录归档与借阅记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-024-R03,TRN-024,文件管理员,候选记录模板填写与更正规则,JL-8.4-01 记录归档与借阅记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.4-01-记录归档与借阅记录-字段字典.md；record_template_full_trial_pack/JL-8.4-01-记录归档与借阅记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-025-R01,TRN-025,对应过程填写人员,候选记录模板填写与更正规则,JL-8.5-01 风险和机遇措施跟踪记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.5-01-风险和机遇措施跟踪记录-字段字典.md；record_template_full_trial_pack/JL-8.5-01-风险和机遇措施跟踪记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-025-R02,TRN-025,复核人员,候选记录模板填写与更正规则,JL-8.5-01 风险和机遇措施跟踪记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.5-01-风险和机遇措施跟踪记录-字段字典.md；record_template_full_trial_pack/JL-8.5-01-风险和机遇措施跟踪记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-025-R03,TRN-025,文件管理员,候选记录模板填写与更正规则,JL-8.5-01 风险和机遇措施跟踪记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.5-01-风险和机遇措施跟踪记录-字段字典.md；record_template_full_trial_pack/JL-8.5-01-风险和机遇措施跟踪记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-026-R01,TRN-026,对应过程填写人员,候选记录模板填写与更正规则,JL-8.6-01 改进建议与效果评价记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.6-01-改进建议与效果评价记录-字段字典.md；record_template_full_trial_pack/JL-8.6-01-改进建议与效果评价记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-026-R02,TRN-026,复核人员,候选记录模板填写与更正规则,JL-8.6-01 改进建议与效果评价记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.6-01-改进建议与效果评价记录-字段字典.md；record_template_full_trial_pack/JL-8.6-01-改进建议与效果评价记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-026-R03,TRN-026,文件管理员,候选记录模板填写与更正规则,JL-8.6-01 改进建议与效果评价记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.6-01-改进建议与效果评价记录-字段字典.md；record_template_full_trial_pack/JL-8.6-01-改进建议与效果评价记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-027-R01,TRN-027,对应过程填写人员,候选记录模板填写与更正规则,JL-8.7-01 纠正措施记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.7-01-纠正措施记录-字段字典.md；record_template_full_trial_pack/JL-8.7-01-纠正措施记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-027-R02,TRN-027,复核人员,候选记录模板填写与更正规则,JL-8.7-01 纠正措施记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.7-01-纠正措施记录-字段字典.md；record_template_full_trial_pack/JL-8.7-01-纠正措施记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-027-R03,TRN-027,文件管理员,候选记录模板填写与更正规则,JL-8.7-01 纠正措施记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.7-01-纠正措施记录-字段字典.md；record_template_full_trial_pack/JL-8.7-01-纠正措施记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-028-R01,TRN-028,对应过程填写人员,候选记录模板填写与更正规则,JL-8.8-01 内审计划、检查表与整改验证记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.8-01-内审计划-检查表与整改验证记录-字段字典.md；record_template_full_trial_pack/JL-8.8-01-内审计划、检查表与整改验证记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-028-R02,TRN-028,复核人员,候选记录模板填写与更正规则,JL-8.8-01 内审计划、检查表与整改验证记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.8-01-内审计划-检查表与整改验证记录-字段字典.md；record_template_full_trial_pack/JL-8.8-01-内审计划、检查表与整改验证记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-028-R03,TRN-028,文件管理员,候选记录模板填写与更正规则,JL-8.8-01 内审计划、检查表与整改验证记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.8-01-内审计划-检查表与整改验证记录-字段字典.md；record_template_full_trial_pack/JL-8.8-01-内审计划、检查表与整改验证记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-029-R01,TRN-029,对应过程填写人员,候选记录模板填写与更正规则,JL-8.9-01 管理评审输入输出及跟踪记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.9-01-管理评审输入输出及跟踪记录-字段字典.md；record_template_full_trial_pack/JL-8.9-01-管理评审输入输出及跟踪记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-029-R02,TRN-029,复核人员,候选记录模板填写与更正规则,JL-8.9-01 管理评审输入输出及跟踪记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.9-01-管理评审输入输出及跟踪记录-字段字典.md；record_template_full_trial_pack/JL-8.9-01-管理评审输入输出及跟踪记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-029-R03,TRN-029,文件管理员,候选记录模板填写与更正规则,JL-8.9-01 管理评审输入输出及跟踪记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-8.9-01-管理评审输入输出及跟踪记录-字段字典.md；record_template_full_trial_pack/JL-8.9-01-管理评审输入输出及跟踪记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
